_id,codename,content_type_id,id,name
6324b53ad1cb3b86df39f7ba,add_logentry,1,1,Can add log entry
6324b53ad1cb3b86df39f7c4,view_permission,2,8,Can view permission
6324b53ad1cb3b86df39f7bc,delete_logentry,1,3,Can delete log entry
6324b53ad1cb3b86df39f7bd,view_logentry,1,4,Can view log entry
6324b53ad1cb3b86df39f7c1,add_permission,2,5,Can add permission
6324b53ad1cb3b86df39f7c6,change_group,3,10,Can change group
6324b53ad1cb3b86df39f7c7,delete_group,3,11,Can delete group
6324b53ad1cb3b86df39f7ca,change_user,4,14,Can change user
6324b53bd1cb3b86df39f7ce,add_contenttype,5,17,Can add content type
6324b53bd1cb3b86df39f7d1,view_contenttype,5,20,Can view content type
6324b53bd1cb3b86df39f7d3,add_session,6,21,Can add session
6324b53cd1cb3b86df39f7d9,change_bandname,7,26,Can change bandname
6324b53cd1cb3b86df39f7dd,add_profile,8,29,Can add profile
6324b53ad1cb3b86df39f7cc,view_user,4,16,Can view user
6324b53bd1cb3b86df39f7d0,delete_contenttype,5,19,Can delete content type
6324b53bd1cb3b86df39f7d6,view_session,6,24,Can view session
6324b53cd1cb3b86df39f7d8,add_bandname,7,25,Can add bandname
6324b53cd1cb3b86df39f7db,view_bandname,7,28,Can view bandname
6324b53cd1cb3b86df39f7e0,view_profile,8,32,Can view profile
6324b53ad1cb3b86df39f7bb,change_logentry,1,2,Can change log entry
6324b53ad1cb3b86df39f7c3,delete_permission,2,7,Can delete permission
6324b53ad1cb3b86df39f7c2,change_permission,2,6,Can change permission
6324b53ad1cb3b86df39f7c5,add_group,3,9,Can add group
6324b53ad1cb3b86df39f7c9,add_user,4,13,Can add user
6324b53bd1cb3b86df39f7cf,change_contenttype,5,18,Can change content type
6324b53bd1cb3b86df39f7d5,delete_session,6,23,Can delete session
6324b53cd1cb3b86df39f7da,delete_bandname,7,27,Can delete bandname
6324b53cd1cb3b86df39f7de,change_profile,8,30,Can change profile
6324b53cd1cb3b86df39f7df,delete_profile,8,31,Can delete profile
6324b53ad1cb3b86df39f7c8,view_group,3,12,Can view group
6324b53ad1cb3b86df39f7cb,delete_user,4,15,Can delete user
6324b53bd1cb3b86df39f7d4,change_session,6,22,Can change session
